0.0100000, 0.9, 0.999, 0.13251
0.0100000, 0.9, 0.900, 0.09509
0.0100000, 0.9, 0.700, 0.13116
0.0100000, 0.9, 0.500, nan
0.0100000, 0.9, 0.300, nan
0.0100000, 0.7, 0.999, 0.13239
0.0100000, 0.7, 0.900, 0.09617
0.0100000, 0.7, 0.700, 0.09603
0.0100000, 0.7, 0.500, 0.10676
0.0100000, 0.7, 0.300, nan
0.0100000, 0.5, 0.999, 0.13207
0.0100000, 0.5, 0.900, 0.13096
0.0100000, 0.5, 0.700, 0.09825
0.0100000, 0.5, 0.500, 0.09957
0.0100000, 0.5, 0.300, 0.12990
0.0100000, 0.3, 0.999, 0.12868
0.0100000, 0.3, 0.900, 0.13305
0.0100000, 0.3, 0.700, 0.13037
0.0100000, 0.3, 0.500, 0.12276
0.0100000, 0.3, 0.300, 0.11851
0.0050000, 0.9, 0.999, 0.09582
0.0050000, 0.9, 0.900, 0.09531
0.0050000, 0.9, 0.700, 0.09594
0.0050000, 0.9, 0.500, nan
0.0050000, 0.9, 0.300, nan
0.0050000, 0.7, 0.999, 0.13197
0.0050000, 0.7, 0.900, 0.09929
0.0050000, 0.7, 0.700, 0.10462
0.0050000, 0.7, 0.500, 0.09431
0.0050000, 0.7, 0.300, 0.10387
0.0050000, 0.5, 0.999, 0.13098
0.0050000, 0.5, 0.900, 0.10419
0.0050000, 0.5, 0.700, 0.13333
0.0050000, 0.5, 0.500, 0.10095
0.0050000, 0.5, 0.300, 0.10856
0.0050000, 0.3, 0.999, 0.13036
0.0050000, 0.3, 0.900, 0.12470
0.0050000, 0.3, 0.700, 0.10332
0.0050000, 0.3, 0.500, 0.11926
0.0050000, 0.3, 0.300, 0.10643
0.0010000, 0.9, 0.999, 0.09869
0.0010000, 0.9, 0.900, 0.09428
0.0010000, 0.9, 0.700, 0.09709
0.0010000, 0.9, 0.500, 0.09669
0.0010000, 0.9, 0.300, nan
0.0010000, 0.7, 0.999, 0.09335
0.0010000, 0.7, 0.900, 0.09445
0.0010000, 0.7, 0.700, 0.09676
0.0010000, 0.7, 0.500, 0.09828
0.0010000, 0.7, 0.300, 0.09832
0.0010000, 0.5, 0.999, 0.10521
0.0010000, 0.5, 0.900, 0.09443
0.0010000, 0.5, 0.700, 0.10236
0.0010000, 0.5, 0.500, 0.11535
0.0010000, 0.5, 0.300, 0.09699
0.0010000, 0.3, 0.999, 0.10008
0.0010000, 0.3, 0.900, 0.10017
0.0010000, 0.3, 0.700, 0.10876
0.0010000, 0.3, 0.500, 0.10037
0.0010000, 0.3, 0.300, 0.10206
0.0005000, 0.9, 0.999, 0.09761
0.0005000, 0.9, 0.900, 0.09599
0.0005000, 0.9, 0.700, 0.09608
0.0005000, 0.9, 0.500, 0.10162
0.0005000, 0.9, 0.300, nan
0.0005000, 0.7, 0.999, 0.09403
0.0005000, 0.7, 0.900, 0.09597
0.0005000, 0.7, 0.700, 0.09852
0.0005000, 0.7, 0.500, 0.10010
0.0005000, 0.7, 0.300, 0.09818
0.0005000, 0.5, 0.999, 0.09554
0.0005000, 0.5, 0.900, 0.10041
0.0005000, 0.5, 0.700, 0.09933
0.0005000, 0.5, 0.500, 0.09830
0.0005000, 0.5, 0.300, 0.09689
0.0005000, 0.3, 0.999, 0.10617
0.0005000, 0.3, 0.900, 0.09577
0.0005000, 0.3, 0.700, 0.10147
0.0005000, 0.3, 0.500, 0.11620
0.0005000, 0.3, 0.300, 0.10657
0.0001000, 0.9, 0.999, 0.10693
0.0001000, 0.9, 0.900, 0.11493
0.0001000, 0.9, 0.700, 0.11443
0.0001000, 0.9, 0.500, 0.11972
0.0001000, 0.9, 0.300, 0.12369
0.0001000, 0.7, 0.999, 0.10605
0.0001000, 0.7, 0.900, 0.11570
0.0001000, 0.7, 0.700, 0.11400
0.0001000, 0.7, 0.500, 0.11394
0.0001000, 0.7, 0.300, 0.11395
0.0001000, 0.5, 0.999, 0.10515
0.0001000, 0.5, 0.900, 0.11499
0.0001000, 0.5, 0.700, 0.12340
0.0001000, 0.5, 0.500, 0.11689
0.0001000, 0.5, 0.300, 0.12215
0.0001000, 0.3, 0.999, 0.10780
0.0001000, 0.3, 0.900, 0.11189
0.0001000, 0.3, 0.700, 0.11336
0.0001000, 0.3, 0.500, 0.11567
0.0001000, 0.3, 0.300, 0.11382
